thiol,imine,catalyst,label_raw,label_scaled
CCS,O=C(C1=CC=CC=C1)/N=C/C2=CC=C(C(F)(F)F)C=C2,O=P1(O)OC2=C(C3=CC=CC=C3)C=C4C(C=CC=C4)=C2C5=C(O1)C(C6=CC=CC=C6)=CC7=C5C=CC=C7,0.5017585158348083,0.5017585158348083
CCS,O=C(C1=CC=CC=C1)/N=C/C2=CC=C(C(F)(F)F)C=C2,O=P1(O)OC2=C(C3=C(F)C=C(OC)C=C3F)C=C4C(C=CC=C4)=[C@]2[C@]5=C(O1)C(C6=C(F)C=C(OC)C=C6F)=CC7=C5C=CC=C7,1.0749905109405518,1.0749905109405518
CCS,O=C(C1=CC=CC=C1)/N=C/C2=CC=C(C(F)(F)F)C=C2,O=P1(O)OC2=C(C3=C(C)C=C(C)C=C3C)C=C4C(C=CC=C4)=C2C5=C(O1)[C@@]([C@@]6=C(C)C=C(C)C=C6C)=CC7=C5C=CC=C7,1.1798906326293945,1.1798906326293945
CCS,O=C(C1=CC=CC=C1)/N=C/C2=CC=C(C(F)(F)F)C=C2,O=P1(O)OC2=C(C3=CC(C)=C(OC(C)C)C(C)=C3)C=C4C(C=CC=C4)=C2C5=C(O1)C(C6=CC(C)=C(OC(C)C)C(C)=C6)=CC7=C5C=CC=C7,0.4463736116886139,0.4463736116886139
CCS,O=C(C1=CC=CC=C1)/N=C/C2=CC=C(C(F)(F)F)C=C2,O=P1(O)OC2=C(C3=CC=C(S(F)(F)(F)(F)F)C=C3)C=C4C(C=CC=C4)=C2C5=C(O1)C(C6=CC=C(S(F)(F)(F)(F)F)C=C6)=CC7=C5C=CC=C7,0.5302345156669617,0.5302345156669617
CCS,O=C(C1=CC=CC=C1)/N=C/C2=CC=C(C(F)(F)F)C=C2,O=P1(O)OC2=C(C3=CC(C4=CC(C(F)(F)F)=CC(C(F)(F)F)=C4)=CC(C5=CC(C(F)(F)F)=CC(C(F)(F)F)=C5)=C3)C=C6C(C=CC=C6)=C2C7=C(O1)C(C8=CC(C9=CC(C(F)(F)F)=CC(C(F)(F)F)=C9)=CC(C%10=CC(C(F)(F)F)=CC(C(F)(F)F)=C%10)=C8)=CC%11=C7C=CC=C%11,0.7495107650756836,0.7495107650756836
CCS,O=C(C1=CC=CC=C1)/N=C/C2=CC=C(C(F)(F)F)C=C2,O=P1(O)OC2=C(CC3=CC=C(OC)C=C3)C=C4C(CCCC4)=C2C5=C(O1)C(CC6=CC=C(OC)C=C6)=CC7=C5CCCC7,-0.2648923397064209,-0.2648923397064209
CCS,O=C(C1=CC=CC=C1)/N=C/C2=CC=C(C(F)(F)F)C=C2,O=P1(O)OC2=C(CC3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)C=C4C(CCCC4)=C2C5=C(O1)C(CC6=CC(C(F)(F)F)=CC(C(F)(F)F)=C6)=CC7=C5CCCC7,-0.24011103808879852,-0.24011103808879852
CCS,O=C(C1=CC=CC=C1)/N=C/C2=CC=C(C(F)(F)F)C=C2,O=P1(O)OC2=C(CC3=C(C=CC=C4)C4=CC5=C3C=CC=C5)C=C6C(C=CC=C6)=C2C7=C(O1)C(CC8=C(C=CC=C9)C9=CC%10=C8C=CC=C%10)=CC%11=C7C=CC=C%11,0.2648923397064209,0.2648923397064209
CCS,O=C(C1=CC=CC=C1)/N=C/C2=CC=C(C(F)(F)F)C=C2,O=P1(O)OC2=C(CC3=CC=C(C(F)(F)F)C=C3C(F)(F)F)C=C4C(C=CC=C4)=C2C5=C(O1)C(CC6=C(C(F)(F)F)C=C(C(F)(F)F)C=C6)=CC7=C5C=CC=C7,-0.21553544700145721,-0.21553544700145721
CCS,O=C(C1=CC=CC=C1)/N=C/C2=CC=C(C(F)(F)F)C=C2,O=P1(O)OC2=C([Si](C3=CC=CC=C3)(C)C4=CC=CC=C4)C=C5C(C=CC=C5)=C2C6=C(O1)C([Si](C7=CC=CC=C7)(C8=CC=CC=C8)C)=CC9=C6C=CC=C9,0.2899039387702942,0.2899039387702942
CCS,O=C(C1=CC=CC=C1)/N=C/C2=CC=C(C(F)(F)F)C=C2,O=P1(O)OC2=C(C3=CC(C4=CC=C(OC)C=C4)=CC(C5=CC=C(OC)C=C5)=C3)C=C6C(C=CC=C6)=C2C7=C(O1)C(C8=CC(C9=CC=C(OC)C=C9)=CC(C%10=CC=C(OC)C=C%10)=C8)=CC%11=C7C=CC=C%11,0.8209450244903564,0.8209450244903564
CCS,O=C(C1=CC=CC=C1)/N=C/C2=CC=C(C(F)(F)F)C=C2,O=P1(O)OC2=C(Br)C=C3C(C=CC=C3)=C2C4=C(O1)C(Br)=CC5=CC=CC=C54,-0.14281295239925385,-0.14281295239925385
CCS,O=C(C1=CC=CC=C1)/N=C/C2=CC=C(C(F)(F)F)C=C2,O=P1(O)OC2=C(Br)C=C3C(CCCC3)=C2C4=C(O1)C(Br)=CC5=C4CCCC5,-0.11883451044559479,-0.11883451044559479
CCS,O=C(C1=CC=CC=C1)/N=C/C2=CC=C(C(F)(F)F)C=C2,O=P1(O)OC2=C([Si](C3=CC=CC=C3)(C4=CC=CC=C4)C5=CC=CC=C5)C=C6C(C=CC=C6)=C2C7=C(O1)C([Si](C8=CC=CC=C8)(C9=CC=CC=C9)C%10=CC=CC=C%10)=CC%11=C7C=CC=C%11,0.0,0.0
CCS,O=C(C1=CC=CC=C1)/N=C/C2=CC=C(C(F)(F)F)C=C2,O=P1(O)OC2=C([Si](C3=CC=CC=C3)(C4=CC=CC=C4)C5=CC=CC=C5)C=C6C(CCCC6)=C2C7=C(O1)C([Si](C8=CC=CC=C8)(C9=CC=CC=C9)C%10=CC=CC=C%10)=CC%11=C7CCCC%11,0.0,0.0
CCS,O=C(C1=CC=CC=C1)/N=C/C2=CC=C(C(F)(F)F)C=C2,O=P1(O)OC2=C([Si](C3=CC=C(C(C)(C)C)C=C3)(C4=CC=C(C(C)(C)C)C=C4)C5=CC=C(C(C)(C)C)C=C5)C=C6C(CCCC6)=C2C7=C(O1)C([Si](C8=CC=C(C(C)(C)C)C=C8)(C9=CC=C(C(C)(C)C)C=C9)C%10=CC=C(C(C)(C)C)C=C%10)=CC%11=C7CCCC%11,0.02369062602519989,0.02369062602519989
